statement,future,source
History has further moulded us as one people who were drawn originally from diverse lands and cultures.,No,UN General Debates Corpus
"It is tragic that it takes a catastrophe of this nature to hammer home the point that the small island developing States have been making for some time, namely, that there is a need for special and differential treatment because of, among other things, our vulnerability to natural disasters.",No,UN General Debates Corpus
"I repeat, without exaggeration, that Hurricane Ivan, in a few short hours, reduced Grenada to rubble and, at a stroke, undid the hard work and achievements of its people since independence in 1974.",No,UN General Debates Corpus
It is worth remembering that CARICOM States were instrumental in preparing a plan of Action for Haiti to ensure that the Constitution of that country was respected and to create the basis for a mobilization of resources to avert a humanitarian disaster.,No,UN General Debates Corpus
"On 25 February 2004, CARICOM was successful in having the matter raised at a meeting of the Security Council.",No,UN General Debates Corpus
The draft resolution presented by CARICOM to the Security Council was noted but politely ignored.,No,UN General Debates Corpus
"A regime that tries an indicted murderer at midnight, one who was hailed by the very regime as a liberator, and then frees him before the first cock crows, has failed the most elemental tests of justice, freedom and democracy.",No,UN General Debates Corpus
We must save those who can still be saved in what have become the killing fields of Africa.,No,UN General Debates Corpus
"Our international obligations and circumstances necessarily pull us into that war, which we did not occasion or initiate.",No,UN General Debates Corpus
The relations between Saint Vincent and the Grenadines and Taiwan have been exemplary.,No,UN General Debates Corpus
"More than 1,000 people, both Afghans and internationals, have been killed there so far this year.",No,UN General Debates Corpus
"The concern of the international community was expressed in Security Council resolution 1564 (2004), adopted on Saturday.",No,UN General Debates Corpus
